,train,valid
0,0.03557734134268354,0.03238716427432863
1,0.030095708958635278,0.02773305969802957
2,0.026763336669484324,0.023700569217142305
3,0.022405437765304338,0.02156054522646101
4,0.019568565672009507,0.019713878043388065
5,0.01635412478142164,0.01715751732454488
6,0.01228687339674004,0.01730065998670302
7,0.009716263961639594,0.013090809807181358
8,0.006837011214388026,0.012784780248215324
9,0.005268888743805953,0.012627913567580674
10,0.004226216257930818,0.012659054151491114
11,0.00340059324728579,0.012092586753791884
12,0.002888280086071146,0.01223677416381083
13,0.002575298048958013,0.012826396348445039
14,0.0024001016572583467,0.012583588200964425
15,0.0022398266221650624,0.01247945271040264
16,0.002029981584531594,0.012414487152311363
17,0.0018461947223510254,0.012299715884422002
18,0.0017963455254423686,0.012563811321007578
19,0.0017041256227953868,0.012177767134026476
20,0.0015378529219147326,0.012361993915156314
21,0.001464580550832166,0.012739120590451517
22,0.001541033789346164,0.012258520031249836
23,0.0013641683525003662,0.012673865758666867
24,0.0013262836582725868,0.01228791955662401
25,0.001211845380815,0.01214677137077639
26,0.0011335417128231545,0.01214895784658821
27,0.0011548934456765312,0.01234348532498667
28,0.001147735547089145,0.01258489526318092
29,0.001104330735291693,0.012115077311663251
30,0.0010633052224875428,0.012009579222649336
31,0.001075250734919047,0.01230959888351591
32,0.0010528291968512349,0.01216101477314767
33,0.000999475577290551,0.0119243755103334
34,0.0009726171000775965,0.012104948173816266
35,0.0009394385858534158,0.012118198198119276
36,0.0009515053699777292,0.011909743305295706
37,0.000944460929366125,0.011964771087820592
38,0.000898876298213674,0.01199559754643001
39,0.001045001341977199,0.012075114529579878
40,0.0010252298379782587,0.01231185226750217
41,0.0010548352054849436,0.01163210477189798
42,0.0009102472937560048,0.012166342060816916
43,0.000797285374243405,0.011781600500015836
44,0.0007261278237406673,0.01189104330382849
45,0.000699852909416553,0.012200558386547001
46,0.0007028825546678325,0.011845850238674566
47,0.0007414931731711312,0.011708249288954233
48,0.0008731556114402007,0.012571510368664014
49,0.0009163251075237481,0.011854259101183791
50,0.0008792300531323152,0.011867154095517961
